model,k,param,train,cv
SVM,15,"C=1, ker=sigmoid",0.821,0.771
SVM,15,"C=3, ker=linear",0.897,0.739
SVM,15,"C=3, ker=poly",0.795,0.639
SVM,15,"C=3, ker=rbf",0.897,0.846
SVM,15,"C=3, ker=sigmoid",0.795,0.743
SVM,15,"C=10, ker=linear",0.923,0.711
SVM,15,"C=10, ker=poly",0.821,0.639
SVM,15,"C=10, ker=rbf",0.974,0.796
SVM,15,"C=10, ker=sigmoid",0.795,0.796
SVM,15,"C=30, ker=linear",0.949,0.661
SVM,15,"C=30, ker=poly",0.974,0.664
SVM,15,"C=30, ker=rbf",0.974,0.768
SVM,15,"C=30, ker=sigmoid",0.795,0.771
SVM,15,"C=100, ker=linear",0.974,0.739
SVM,15,"C=100, ker=poly",1.0,0.689
SVM,15,"C=100, ker=rbf",1.0,0.768
SVM,15,"C=100, ker=sigmoid",0.821,0.771
LogReg,20,-,0.872,0.793
MLP,20,"h=10, act=logistic",1.0,0.739
MLP,20,"h=10, act=tanh",1.0,0.764
MLP,20,"h=10, act=relu",1.0,0.768
MLP,20,"h=5, act=logistic",1.0,0.743
MLP,20,"h=5, act=tanh",1.0,0.764
MLP,20,"h=5, act=relu",0.974,0.793
MLP,20,"h=3, act=logistic",0.923,0.764
MLP,20,"h=3, act=tanh",1.0,0.764
MLP,20,"h=3, act=relu",0.974,0.793
SVM,20,"C=0.01, ker=linear",0.667,0.618
SVM,20,"C=0.01, ker=poly",0.667,0.668
SVM,20,"C=0.01, ker=rbf",0.667,0.668
SVM,20,"C=0.01, ker=sigmoid",0.667,0.668
SVM,20,"C=0.03, ker=linear",0.744,0.693
SVM,20,"C=0.03, ker=poly",0.667,0.668
SVM,20,"C=0.03, ker=rbf",0.667,0.668
SVM,20,"C=0.03, ker=sigmoid",0.667,0.668
SVM,20,"C=0.1, ker=linear",0.821,0.775
SVM,20,"C=0.1, ker=poly",0.718,0.643
SVM,20,"C=0.1, ker=rbf",0.667,0.668
SVM,20,"C=0.1, ker=sigmoid",0.667,0.668
SVM,20,"C=0.3, ker=linear",0.846,0.664
SVM,20,"C=0.3, ker=poly",0.718,0.668
SVM,20,"C=0.3, ker=rbf",0.667,0.643
SVM,20,"C=0.3, ker=sigmoid",0.667,0.618
SVM,20,"C=1, ker=linear",0.897,0.714
SVM,20,"C=1, ker=poly",0.769,0.614
SVM,20,"C=1, ker=rbf",0.872,0.721
SVM,20,"C=1, ker=sigmoid",0.795,0.746
SVM,20,"C=3, ker=linear",0.923,0.768
SVM,20,"C=3, ker=poly",0.795,0.639
SVM,20,"C=3, ker=rbf",0.923,0.796
SVM,20,"C=3, ker=sigmoid",0.821,0.718
SVM,20,"C=10, ker=linear",0.974,0.768
SVM,20,"C=10, ker=poly",0.821,0.589
SVM,20,"C=10, ker=rbf",1.0,0.768
SVM,20,"C=10, ker=sigmoid",0.795,0.743
SVM,20,"C=30, ker=linear",0.974,0.686
SVM,20,"C=30, ker=poly",0.949,0.564
SVM,20,"C=30, ker=rbf",1.0,0.768
SVM,20,"C=30, ker=sigmoid",0.795,0.718
SVM,20,"C=100, ker=linear",0.974,0.661
SVM,20,"C=100, ker=poly",1.0,0.718
SVM,20,"C=100, ker=rbf",1.0,0.768
SVM,20,"C=100, ker=sigmoid",0.795,0.718
LogReg,25,-,0.897,0.743
MLP,25,"h=10, act=logistic",1.0,0.739
MLP,25,"h=10, act=tanh",1.0,0.739
MLP,25,"h=10, act=relu",1.0,0.764
MLP,25,"h=5, act=logistic",1.0,0.739
MLP,25,"h=5, act=tanh",1.0,0.764
MLP,25,"h=5, act=relu",1.0,0.743
MLP,25,"h=3, act=logistic",0.949,0.739
MLP,25,"h=3, act=tanh",0.974,0.764
MLP,25,"h=3, act=relu",0.974,0.768
SVM,25,"C=0.01, ker=linear",0.692,0.618
SVM,25,"C=0.01, ker=poly",0.667,0.668
SVM,25,"C=0.01, ker=rbf",0.667,0.668
SVM,25,"C=0.01, ker=sigmoid",0.667,0.668
SVM,25,"C=0.03, ker=linear",0.744,0.696
SVM,25,"C=0.03, ker=poly",0.667,0.668
SVM,25,"C=0.03, ker=rbf",0.667,0.668
SVM,25,"C=0.03, ker=sigmoid",0.667,0.668
SVM,25,"C=0.1, ker=linear",0.821,0.746
SVM,25,"C=0.1, ker=poly",0.667,0.643
SVM,25,"C=0.1, ker=rbf",0.667,0.668
SVM,25,"C=0.1, ker=sigmoid",0.667,0.668
SVM,25,"C=0.3, ker=linear",0.821,0.714
SVM,25,"C=0.3, ker=poly",0.718,0.668
SVM,25,"C=0.3, ker=rbf",0.667,0.643
SVM,25,"C=0.3, ker=sigmoid",0.667,0.618
SVM,25,"C=1, ker=linear",0.897,0.714
SVM,25,"C=1, ker=poly",0.769,0.614
SVM,25,"C=1, ker=rbf",0.872,0.746
SVM,25,"C=1, ker=sigmoid",0.795,0.721
SVM,25,"C=3, ker=linear",0.974,0.711
SVM,25,"C=3, ker=poly",0.795,0.614
SVM,25,"C=3, ker=rbf",0.923,0.821
SVM,25,"C=3, ker=sigmoid",0.769,0.743
SVM,25,"C=10, ker=linear",0.974,0.711
SVM,25,"C=10, ker=poly",0.795,0.586
SVM,25,"C=10, ker=rbf",1.0,0.793
SVM,25,"C=10, ker=sigmoid",0.769,0.743
SVM,25,"C=30, ker=linear",0.974,0.711
