model,k,param,train,cv
MLP,50,"h=4,logistic",0.949,0.771
MLP,50,"h=15,relu",1.0,0.768
MLP,50,"h=15,logistic",1.0,0.743
SVM,50,"C=0.1,linear",0.821,0.718
SVM,50,"C=0.1,rbf",0.667,0.668
SVM,50,"C=1,linear",0.949,0.714
SVM,50,"C=1,rbf",0.872,0.7
SVM,50,"C=10,linear",0.974,0.661
SVM,50,"C=10,rbf",0.974,0.743
DT,50,d=3,0.897,0.668
DT,50,d=5,1.0,0.696
DT,50,d=None,1.0,0.696
RF,50,"n=16,d=3",0.974,0.671
RF,50,"n=16,d=5",1.0,0.725
RF,50,"n=16,d=None",1.0,0.725
XGB,50,"d=15,lr=0.05",0.974,0.693
XGB,50,"d=15,lr=0.1",1.0,0.668
XGB,50,"d=17,lr=0.05",0.974,0.693
XGB,50,"d=17,lr=0.1",1.0,0.668
CatBoost,50,"d=1,lr=0.05",0.949,0.721
CatBoost,50,"d=1,lr=0.1",1.0,0.696
CatBoost,50,"d=15,lr=0.05",1.0,0.796
CatBoost,50,"d=15,lr=0.1",1.0,0.796
